,Nombredecrditsactifs,FLOORSMAXMODE,EXTSOURCE3,YEARSBEGINEXPLUATATIONMEDI,Nombredecrditsrembourss,EXTSOURCE2,OBS30CNTSOCIALCIRCLE,bureauMontantdesdettesactuelles,CODEGENDER,REGCITYNOTWORKCITY,NAMEFAMILYSTATUSMarried,DAYSBIRTH,FLAGOWNCAR,FLAGPHONE,REGIONRATINGCLIENTWCITY,NAMETYPESUITEUnaccompanied,YEARSBEGINEXPLUATATIONAVG,FLAGOWNREALTY,AMTANNUITY,ORGANIZATIONTYPESelfemployed,FLAGDOCUMENT3,bureauNombredejoursdepuisladerniredemande,AMTGOODSPRICE,NAMEINCOMETYPEWorking,AMTCREDIT,REGIONRATINGCLIENT,DAYSEMPLOYED,IPPaiementensouffrancemoyen,NAMEEDUCATIONTYPESecondarysecondaryspecial,DAYSREGISTRATION,YEARSBEGINEXPLUATATIONMODE,DAYSLASTPHONECHANGE,NAMECONTRACTTYPECashloans,CNTCHILDREN,TOTALAREAMODE,OCCUPATIONTYPELaborers,ORGANIZATIONTYPEBusinessEntityType3,REGCITYNOTLIVECITY,FLOORSMAXMEDI,NAMEEDUCATIONTYPEHighereducation,NAMEFAMILYSTATUSSinglenotmarried,DAYSIDPUBLISH,WEEKDAYAPPRPROCESSSTARTFRIDAY,OCCUPATIONTYPESalesstaff,WEEKDAYAPPRPROCESSSTARTTHURSDAY,FLAGDOCUMENT6,REGIONPOPULATIONRELATIVE,IPRetardmoyendespaiements,OCCUPATIONTYPECorestaff,OCCUPATIONTYPEDrivers,WEEKDAYAPPRPROCESSSTARTMONDAY,LIVEREGIONNOTWORKREGION,FLAGEMAIL,FLOORSMAXAVG,bureauMontantcrditsencours,ORGANIZATIONTYPESchool,HOURAPPRPROCESSSTART,AMTINCOMETOTAL,WEEKDAYAPPRPROCESSSTARTWEDNESDAY,DEF30CNTSOCIALCIRCLE,ORGANIZATIONTYPETransporttype3,FLAGWORKPHONE,OCCUPATIONTYPESecuritystaff,LIVECITYNOTWORKCITY,WEEKDAYAPPRPROCESSSTARTTUESDAY,NAMEHOUSINGTYPEHouseapartment,PreviousMontantdemandmoyen,ORGANIZATIONTYPETradetype7,ORGANIZATIONTYPEAgriculture,WEEKDAYAPPRPROCESSSTARTSATURDAY,NAMETYPESUITEFamily,FLAGEMPPHONE,CNTFAMMEMBERS,NAMEFAMILYSTATUSSeparated,NAMEINCOMETYPEStateservant,ORGANIZATIONTYPEOther,NAMEHOUSINGTYPEMunicipalapartment,DEF60CNTSOCIALCIRCLE,OBS60CNTSOCIALCIRCLE,OCCUPATIONTYPEHighskilltechstaff,NAMEFAMILYSTATUSWidow,SKIDCURR
0,3.0,0.125,0.1595195404777181,0.9732,4.0,0.7896543511176771,0.0,596686.5,1,0,1,-19241,0,0,2,1,0.9732,1,20560.5,0,1,-1572.0,450000.0,1,568800.0,2,-2329,0.0,0,-5170.0,0.9732,-1740.0,1,0,0.0392,0,0,0,0.125,1,0,-812,0,0,0,0,0.01885,15.5,0,0,0,0,1,0.125,1453365.0,0,18,135000.0,0,0.0,0,0,0,0,1,1,24835.5,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100001
1,2.0,,0.4329616670974407,,1.0,0.2916555320093651,0.0,568408.5,0,0,1,-18064,0,0,2,1,,1,17370.0,1,1,-373.0,180000.0,1,222768.0,2,-4469,0.0,1,-9118.0,,0.0,1,0,,0,0,0,,0,0,-1623,1,0,0,0,0.035792,23.555555555555557,0,0,0,0,0,,657126.0,0,9,99000.0,0,0.0,0,0,0,0,0,1,22308.75,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100005
2,,,0.6109913280868294,,4.0,0.6997868302051784,0.0,0.0,0,0,1,-20038,1,0,2,0,,1,69777.0,0,0,-2070.0,630000.0,1,663264.0,2,-4458,2646.2831250000004,0,-2175.0,,-856.0,1,0,,0,0,0,,1,0,-3503,0,0,0,0,0.019101,12.75925925925926,0,1,1,0,0,,2072280.06,0,14,202500.0,0,0.0,1,0,0,0,0,1,130871.25,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100013
3,5.0,0.375,0.6127042441012546,0.997,7.0,0.5096770801723647,0.0,186304.5,1,0,1,-13976,0,1,2,1,0.997,1,49018.5,0,1,-2105.0,1575000.0,1,1575000.0,2,-1866,279.15964285714284,1,-2000.0,0.997,-1805.0,1,2,0.37,0,1,0,0.375,0,0,-4208,0,1,0,0,0.026392,4.8500000000000005,0,0,0,0,0,0.375,1520875.08,0,11,315000.0,1,0.0,0,0,0,0,0,1,49207.5,0,0,0,0,1,4.0,0,0,0,0,0.0,0.0,0,0,100028
4,,,,,,0.4256872940912229,0.0,,0,1,1,-13040,1,0,2,1,,0,32067.0,0,1,,625500.0,1,625500.0,2,-2191,0.0,1,-4000.0,,-821.0,1,1,,0,1,0,,0,0,-4262,1,0,0,0,0.010032,12.25,0,0,0,0,0,,,0,5,180000.0,0,0.0,0,1,0,1,0,1,267727.5,0,0,0,0,1,3.0,0,0,0,0,0.0,0.0,0,0,100038
5,8.0,0.3333,0.3927738606031339,0.9821,6.0,0.6289043246811542,0.0,3074162.895,1,0,1,-18604,1,1,2,1,0.9821,1,34600.5,0,0,-2723.0,810000.0,0,959688.0,2,-12009,319.54007025761126,1,-6116.0,0.9821,-1705.0,1,0,0.2151,0,0,0,0.3333,0,0,-2027,0,0,0,0,0.025164,7.765516996664537,0,1,1,0,0,0.3333,9540657.0,0,15,270000.0,0,0.0,0,0,0,0,0,1,415884.0,0,0,0,0,1,2.0,0,1,0,0,0.0,0.0,0,0,100042
6,1.0,,0.6512602186973006,,7.0,0.57108420610083,1.0,0.0,0,1,1,-16685,1,0,2,1,,1,22117.5,0,1,-2623.0,373500.0,1,499221.0,2,-2580,0.0,0,-10125.0,,-1182.0,1,2,,0,0,0,,1,0,-241,0,0,1,0,0.0228,23.333333333333332,0,0,0,0,0,,2952260.1,0,9,180000.0,0,0.0,0,0,0,1,0,1,50396.175,0,0,0,0,1,4.0,0,0,0,0,0.0,1.0,1,0,100057
7,4.0,,0.3123653692278984,,9.0,0.6130330592407085,0.0,540273.51,0,0,0,-9516,0,1,2,1,,1,14220.0,1,0,-1207.0,180000.0,1,180000.0,2,-1387,0.0,0,-5063.0,,-1182.0,1,0,,0,0,0,,1,1,-2055,1,0,0,0,0.005144,13.6,1,0,0,0,0,,1710873.945,0,7,166500.0,0,0.0,0,1,0,0,0,0,58590.0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0,0,100065
8,1.0,0.1667,0.5226973172821112,0.9781,2.0,0.8087877917779122,0.0,181687.5,1,0,1,-12744,0,0,1,1,0.9781,1,28957.5,0,1,-674.0,315000.0,0,364896.0,1,-1013,0.0,0,-1686.0,0.9782,-829.0,1,0,0.0702,0,0,0,0.1667,1,0,-3171,0,0,1,0,0.04622,9.49280303030303,1,0,0,0,0,0.1667,949500.0,1,18,315000.0,0,0.0,0,0,0,0,0,1,117006.0,0,0,0,0,1,2.0,0,1,0,0,0.0,0.0,0,0,100066
9,5.0,,0.1940678276718812,,12.0,0.4448475614048825,4.0,1176970.5,1,0,0,-10395,1,1,2,0,,1,5337.0,0,1,-1628.0,45000.0,1,45000.0,2,-2625,0.0,0,-8124.0,,-1423.0,1,1,,0,0,0,,1,0,-3041,0,1,0,0,0.018634,14.162515262515262,0,0,0,0,0,,3237102.0,0,14,162000.0,0,0.0,0,1,0,0,1,1,182835.19565217392,0,0,0,1,1,3.0,0,0,0,0,0.0,4.0,0,0,100067
10,,0.0417,0.2985949897873972,0.9781,3.0,0.6600149063064604,0.0,0.0,1,0,1,-23670,0,1,3,1,0.9781,1,25447.5,0,1,-2071.0,675000.0,0,675000.0,3,365243,0.0,1,-7490.0,0.9782,-1671.0,1,0,0.0136,0,0,0,0.0417,0,0,-4136,0,0,0,0,0.0031219999999999,8.35,0,0,0,0,0,0.0417,360974.52,0,11,67500.0,0,0.0,0,0,0,0,1,1,62482.5,0,0,0,0,0,2.0,0,0,0,0,0.0,0.0,0,0,100074
11,2.0,,0.4365064990977374,,,0.3937146969745023,0.0,62170.83,1,1,0,-15524,0,0,2,1,,1,16848.0,1,1,-315.0,216000.0,1,261621.0,2,-3555,-6428.571428571428,1,-7833.0,,-1097.0,1,0,,1,0,0,,0,0,-3985,1,0,0,0,0.008019,5.392857142857142,0,0,0,0,0,,113041.8,0,17,135000.0,0,0.0,0,0,0,1,0,1,167188.125,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0,1,100090
12,1.0,,0.41534714488434,,2.0,0.4700355103285236,1.0,1367662.5,1,0,0,-12278,0,0,2,1,,1,23539.5,1,1,-1409.0,225000.0,1,296280.0,2,-929,0.0,1,-6031.0,,-619.0,1,0,,0,0,0,,0,0,-4586,0,0,1,0,0.018634,12.2,0,0,0,0,0,,1949845.5,0,17,247500.0,0,1.0,0,0,0,0,0,1,103110.0,0,0,0,0,1,2.0,0,0,0,0,0.0,1.0,0,0,100091
13,7.0,,0.375711009574066,,6.0,0.2702553559832115,5.0,937309.5,1,1,1,-19687,1,0,2,1,,1,18535.5,0,1,-2413.0,360000.0,1,360000.0,2,-3578,171.57985714285715,1,-10673.0,,-1414.0,1,0,,0,0,0,,0,0,-3183,0,0,0,0,0.0145199999999999,16.22,1,0,0,0,0,,2214576.4050000003,0,7,90000.0,0,0.0,0,0,0,1,1,1,32628.75,0,0,0,0,1,2.0,0,0,0,0,0.0,5.0,0,0,100092
14,,,0.5797274227921155,,1.0,0.4857699312968558,0.0,0.0,0,1,0,-12091,0,0,2,0,,1,7875.0,0,0,-1070.0,157500.0,1,157500.0,2,-1830,435.28285714285727,1,-1042.0,,-765.0,0,0,,1,1,1,,0,0,-4221,0,0,0,0,0.031329,16.39047619047619,0,0,0,0,0,,225000.0,0,9,180000.0,0,0.0,0,0,0,0,1,1,82919.7,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100106
15,1.0,0.125,0.2636468134452008,0.9513,,0.6844067238529257,2.0,124195.68,0,0,0,-13563,1,0,1,1,0.9513,1,21690.0,0,0,-17.0,225000.0,1,296280.0,1,-1007,-507.275625,1,-5719.0,0.9513,-317.0,1,0,0.0484,1,1,0,0.125,0,0,-4044,0,0,0,0,0.032561,5.363095238095238,0,0,0,0,1,0.125,124195.68,0,15,180000.0,0,0.0,0,0,0,0,1,1,51500.25,0,0,0,0,1,2.0,0,0,0,0,0.0,2.0,0,0,100107
16,3.0,,0.3062022983135042,,10.0,0.6350278467719062,0.0,319125.555,1,0,0,-19375,1,0,2,1,,1,26041.5,0,1,-2413.0,360000.0,1,407520.0,2,-4739,0.0,1,-3035.0,,-2154.0,1,0,,1,0,0,,0,1,-2895,0,0,0,0,0.00702,4.697530864197531,0,0,0,0,0,,1670155.785,0,15,202500.0,0,0.0,0,1,0,0,0,1,153396.5,0,0,1,0,1,1.0,0,0,0,0,0.0,0.0,0,0,100109
17,2.0,,0.6528965519806539,,6.0,0.6467635239646198,0.0,576030.33,0,0,1,-22705,1,0,3,1,,1,22117.5,0,1,-2046.0,373500.0,0,499221.0,3,365243,0.0,1,-5107.0,,-1132.0,1,0,,0,0,0,,0,0,-5990,1,0,0,0,0.0031219999999999,13.25,0,0,0,0,0,,1784256.795,0,10,90000.0,0,0.0,0,0,0,0,0,1,39937.5,0,0,0,0,0,2.0,0,0,0,0,0.0,0.0,0,0,100117
18,4.0,0.375,0.3474182272002641,0.9881,23.0,0.3750732637427585,5.0,347607.0,1,0,0,-10962,1,0,2,1,0.9881,1,23526.0,0,1,-2642.0,360000.0,0,431280.0,2,-1883,604.5918750000001,0,-99.0,0.9881,-1616.0,1,1,0.0837,0,0,0,0.375,1,0,-1721,0,0,1,0,0.025164,14.583333333333332,0,0,0,0,1,0.375,7911722.970000001,0,10,225000.0,0,0.0,0,0,0,0,0,0,279169.26923076925,0,0,0,0,1,3.0,0,0,0,0,0.0,5.0,0,0,100128
19,,,,,,0.7427647756395467,0.0,,1,1,1,-17955,1,0,2,0,,1,46741.5,0,1,,454500.0,1,478498.5,2,-305,0.0,1,-10087.0,,-814.0,1,0,,1,0,1,,0,0,-1516,0,0,0,0,0.010147,6.333333333333333,0,0,0,0,0,,,0,11,175500.0,0,0.0,0,1,0,0,1,1,20160.0,0,0,0,1,1,2.0,0,0,0,0,0.0,0.0,0,0,100141
20,,0.1667,0.7610263695502636,0.9762,4.0,0.6009994171816399,0.0,0.0,1,0,0,-10507,0,1,2,1,0.9762,1,19242.0,0,1,-2694.0,225000.0,0,225000.0,2,-2780,423.1221428571429,1,-5072.0,0.9762,-2297.0,1,0,0.0547,0,1,0,0.1667,0,0,-2729,0,1,0,0,0.0072739999999999,11.178571428571429,0,0,0,0,0,0.1667,427500.0,0,10,99000.0,0,0.0,0,0,0,0,1,1,507588.75,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100150
21,,0.2083,0.746300213050371,0.9627,1.0,0.7089390399675721,0.0,0.0,1,0,0,-22557,0,0,1,1,0.9627,1,16443.0,0,1,-1407.0,202500.0,1,266652.0,1,-13294,-1375.5507692307692,0,-13154.0,0.9628,-1144.0,1,0,0.0508,0,0,0,0.2083,1,0,-4187,0,0,0,0,0.0116569999999999,20.635531135531135,0,0,0,0,0,0.2083,360000.0,0,15,157500.0,0,0.0,0,0,0,0,1,1,712388.25,0,0,0,0,1,1.0,0,0,1,0,0.0,0.0,0,1,100168
22,1.0,0.6667,0.1595195404777181,0.9925,,0.6386136180590145,0.0,97011.0,1,0,0,-22784,0,0,1,0,0.9925,1,27702.0,0,0,-187.0,540000.0,0,540000.0,1,365243,1766.3917499999998,0,-5103.0,0.9926,-519.0,1,0,0.2989,0,0,0,0.6667,1,0,-5229,0,0,0,1,0.072508,9.633143939393939,0,0,0,0,0,0.6667,176382.0,0,12,135000.0,0,0.0,0,0,0,0,1,1,124258.23529411765,0,0,0,1,0,1.0,1,0,0,0,0.0,0.0,0,0,100169
23,4.0,0.375,0.4400578303966329,0.9866,4.0,0.6612258810815439,1.0,315670.5,0,0,1,-11948,0,0,2,1,0.9866,1,42493.5,0,1,-2800.0,1012500.0,0,1313212.5,2,-1415,873.8515989454094,0,-5611.0,0.9866,-1582.0,1,1,0.1217,1,1,0,0.375,0,0,-4052,0,0,0,0,0.02461,2.3680727874276264,0,0,0,0,1,0.375,614498.4450000001,0,11,337500.0,0,0.0,0,0,0,0,1,1,117281.25,0,0,0,0,1,3.0,0,0,0,0,0.0,1.0,0,0,100170
24,3.0,,0.6626377922738201,,5.0,0.6874076897321058,7.0,2648639.0700000003,0,0,1,-13172,1,0,2,1,,1,29245.5,0,1,-2858.0,450000.0,1,539100.0,2,-3518,0.0,1,-6207.0,,-2470.0,1,0,,0,1,0,,0,0,-4243,0,0,0,0,0.031329,9.7,0,1,0,0,0,,6237315.0,0,14,157500.0,1,0.0,0,1,0,0,0,1,43870.5,0,0,0,0,1,2.0,0,0,0,0,0.0,7.0,0,0,100171
25,1.0,,0.5352762504724826,,2.0,0.3488858471220637,4.0,58041.0,1,1,0,-15394,0,0,2,1,,1,12334.5,0,1,-659.0,225000.0,1,225000.0,2,-967,0.0,1,-5389.0,,0.0,1,0,,1,1,0,,0,0,-5433,0,0,0,0,0.010966,18.333333333333332,0,0,0,0,0,,318037.5,0,10,76500.0,0,2.0,0,0,0,1,1,1,44458.5,0,0,0,0,1,2.0,0,0,0,0,0.0,4.0,0,0,100172
26,5.0,0.1667,0.4740512892789932,0.9826,6.0,0.2631011921849177,1.0,711540.0,1,0,0,-21150,0,0,2,1,0.9826,1,10759.5,0,1,-953.0,180000.0,0,256032.0,2,365243,157.74136363636364,1,-4157.0,0.9826,-672.0,1,0,0.0759,0,0,0,0.1667,0,0,-4658,0,0,1,0,0.0196889999999999,11.12121212121212,0,0,0,0,0,0.1667,1422274.5,0,11,112500.0,0,0.0,0,0,0,0,0,1,140325.46363636365,0,0,0,0,0,1.0,0,0,0,0,0.0,1.0,0,1,100184
27,1.0,0.5,0.5954562029091491,0.9965,3.0,0.266212100961842,5.0,1875802.5,1,0,1,-21040,0,1,2,0,0.9965,1,25726.5,1,1,-811.0,418500.0,0,501363.0,2,-2467,0.0,0,-918.0,0.9965,-1792.0,1,0,0.1175,0,0,0,0.5,1,0,-3663,0,0,1,0,0.031329,6.803571428571428,0,0,0,0,0,0.5,4412893.05,0,12,225000.0,0,1.0,0,0,0,0,0,1,183525.42857142858,0,0,0,1,1,2.0,0,0,0,0,1.0,5.0,0,0,100187
28,1.0,,0.3572932680336494,,,0.7629532085826144,5.0,16299.0,1,0,1,-15773,1,0,3,1,,0,23107.5,1,1,-78.0,450000.0,1,450000.0,3,-1310,0.0,0,-7173.0,,-2865.0,1,0,,0,0,0,,0,0,-5049,0,0,0,0,0.005002,19.9375,1,0,1,0,0,,23502.645,0,15,90000.0,0,0.0,0,0,0,0,0,1,79493.4,0,0,0,0,1,2.0,0,0,0,0,0.0,5.0,0,0,100212
29,5.0,,0.2539628093363117,,9.0,0.6786018822974562,0.0,3242268.18,1,0,1,-17796,1,0,2,1,,1,34074.0,1,1,-1929.0,945000.0,1,945000.0,2,-2785,0.0,1,-2296.0,,0.0,1,0,,0,0,0,,0,0,-1224,0,0,0,0,0.030755,5.5,0,0,0,0,0,,5495302.8,0,12,360000.0,1,0.0,0,0,0,0,0,1,270000.0,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100222
30,4.0,0.1667,0.6127042441012546,0.9876,3.0,0.7858814044490458,2.0,6466366.665,1,0,1,-12994,0,0,2,1,0.9876,0,35811.0,0,1,-2392.0,400500.0,0,490374.0,2,-2055,149.22409090909088,0,-164.0,0.9866,-1967.0,1,0,0.0856,0,0,0,0.1875,1,0,-3461,0,0,0,0,0.00496,8.196212121212122,0,0,1,0,0,0.1875,7332444.0,0,11,180000.0,0,0.0,0,0,0,0,0,1,252660.0,0,0,0,0,1,2.0,0,0,0,0,0.0,1.0,0,0,100223
31,2.0,,0.5673792367572691,,,0.7845722127718678,0.0,192595.5,1,0,1,-14445,0,0,2,1,,0,21577.5,0,1,-987.0,265500.0,1,335592.0,2,-1751,0.0,0,-2204.0,,-551.0,1,1,,0,0,0,,1,0,-5049,0,0,1,0,0.00496,26.3,1,0,0,0,0,,504000.0,1,15,102150.0,0,0.0,0,0,0,0,0,1,348045.0,0,0,0,0,1,3.0,0,0,0,0,0.0,0.0,0,0,100232
32,1.0,,0.633031641417419,,1.0,0.0909218916196025,0.0,1124.505,1,1,1,-9187,0,0,2,1,,0,17797.5,0,0,-620.0,360000.0,1,431280.0,2,-270,,1,-3663.0,,-247.0,1,0,,1,1,1,,0,0,-725,1,0,0,0,0.015221,,0,0,0,0,0,,44815.5,0,14,67500.0,0,0.0,0,1,0,1,0,0,,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100241
33,4.0,0.1667,0.5460231970049609,0.9752,6.0,0.6708899286421401,1.0,1036881.0,1,0,1,-13365,0,0,2,1,0.9752,0,20947.5,0,1,-2895.0,315000.0,1,364896.0,2,-1397,,0,-5725.0,0.9752,-2264.0,1,0,0.0825,1,0,0,0.1667,0,0,-5788,1,0,0,0,0.016612,,0,0,0,0,0,0.1667,3446883.09,0,17,112500.0,0,0.0,0,0,0,0,0,1,,0,0,0,0,1,2.0,0,0,0,0,0.0,1.0,0,0,100245
34,2.0,0.3333,0.6769925032909132,0.9856,7.0,0.6083332060612188,0.0,0.0,1,0,0,-15631,1,0,2,0,0.9856,1,39568.5,0,0,-2771.0,720000.0,0,819792.0,2,-3060,-19015.06707142857,1,-1545.0,0.9856,-2302.0,1,0,0.2529,0,1,0,0.3333,0,0,-3162,0,0,0,0,0.010966,13.687301587301588,0,0,0,0,0,0.3333,4165584.21,0,14,171000.0,0,0.0,0,0,0,0,1,1,398439.64285714284,0,0,0,1,1,1.0,1,0,0,0,0.0,0.0,0,0,100253
